name,year,metacritic_rating,reviewer_rating,positivity_ratio,to_beat_main,to_beat_extra,to_beat_completionist,extra_content_length,tags
Bounty Train,2017.0,66.0,5.0,2.292307692307692,18.6,20.27,44.94,26.34,Building|Historical|Management|Trains|Strategy|Indie|Action|Real-Time with Pause|Trading|Western|Simulation|Singleplayer|Economy|Early Access
Space Run Galaxy,2016.0,75.0,5.0,1.8154761904761905,39.71,60.99,80.0,40.29,Space|Tower Defense|Strategy|Indie|Sci-fi
Autonauts,2019.0,80.0,8.0,8.549107142857142,95.8,120.0,173.4,77.60000000000001,Robots|Automation|Multiplayer|Strategy|Resource Management|Colony Sim|Building|Management|City Builder|Co-op|Programming|Relaxing|Crafting|Casual|Indie|Singleplayer|Simulation|Farming Sim|Cute|Agriculture|Sandbox
King's Bounty: Dark Side,2014.0,73.0,6.0,2.73621103117506,50.17,64.33,77.9,27.730000000000004,Turn-Based Strategy|Strategy|Fantasy|Turn-Based|Hex Grid|Singleplayer|Adventure|Female Protagonist|RPG|Villain Protagonist
Star Renegades,2020.0,77.0,8.0,5.413223140495868,10.09,18.75,34.85,24.76,Procedural Generation|Strategy|Action|Mechs|Pixel Graphics|Futuristic|Tactical RPG|2.5D|Turn-Based Combat|Romance|Strategy RPG|Tactical|RPG|JRPG|Indie|Retro|Party-Based RPG|Singleplayer|Colorful|Anime|Turn-Based Strategy|Conversation|Turn-Based|Sci-fi
Thea: The Awakening,2015.0,73.0,8.0,8.401069518716577,18.59,42.74,85.66,67.07,4X|Strategy|Card Game|Resource Management|Co-op|RPG|Mythology|Early Access|Dark Fantasy|Nudity|Crafting|Sexual Content|Survival|Fantasy|Indie|Singleplayer|Choices Matter|Turn-Based Strategy|Turn-Based|Hex Grid|Replay Value|Board Game
Little Big Workshop,2019.0,77.0,8.0,5.511111111111111,20.19,20.62,27.44,7.25,Automation|Strategy|Resource Management|Building|Management|City Builder|Isometric|Tactical|Comedy|Sandbox|Crafting|Funny|3D|Casual|Indie|Singleplayer|Simulation|Cute|Replay Value|Economy
Ultimate General: Gettysburg,2014.0,84.0,8.0,4.222664015904573,6.98,8.78,25.04,18.06,Historical|Multiplayer|Strategy|Indie|Tactical|RTS|Singleplayer|Simulation|Military|War|Wargame
We. The Revolution,2019.0,75.0,6.0,3.545219638242894,12.88,13.18,17.48,4.6,Story Rich|Visual Novel|Historical|Action-Adventure|Crime|Strategy|Grand Strategy|Action|Adventure|Political|Political Sim|Puzzle|Investigation|Mature|Crafting|Politics|Thriller|Singleplayer|Simulation|Hand-drawn|Colorful|Dark|Violent|Choices Matter|Education|Addictive|Turn-Based|Difficult
Parkasaurus,2020.0,70.0,8.0,17.205479452054796,19.38,22.7,68.9,49.52000000000001,Multiplayer|Strategy|Action|Resource Management|Adventure|Games Workshop|Building|Management|City Builder|Isometric|Dinosaurs|Comedy|Early Access|Sandbox|Funny|Casual|Indie|Singleplayer|Simulation|Colorful|Cute|Family Friendly|Economy
Space Run,2014.0,73.0,8.0,6.176258992805756,14.44,18.56,37.58,23.14,Space|Tower Defense|Strategy|Indie|Action|Adventure|Singleplayer|Sci-fi
Idol Manager,2021.0,73.0,8.0,7.453608247422681,20.05,22.16,25.0,4.949999999999999,Visual Novel|Strategy|Romance|Management|Comedy|Villain Protagonist|Nudity|Mature|Hentai|Sexual Content|Moddable|Indie|Singleplayer|Simulation|Nonlinear|Dark Comedy|Cute|Anime|Replay Value|Economy
Lost Eidolons,2022.0,75.0,6.0,3.0858208955223883,42.92,52.19,68.67,25.75,Magic|Story Rich|Strategy|Tactical RPG|Combat|Turn-Based Combat|Strategy RPG|Character Customization|CRPG|Tactical|Top-Down|RPG|Turn-Based Tactics|3D|Casual|Fantasy|Indie|Singleplayer|Medieval|Turn-Based Strategy
Anomaly Defenders,2014.0,70.0,6.0,3.756521739130435,9.42,10.65,24.63,15.21,Tower Defense|Strategy|Indie|Action|Singleplayer|Sci-fi
Wildfrost,2023.0,80.0,6.0,3.3141405588484334,12.26,16.26,50.0,37.74,Roguelike Deckbuilder|Colorful|Procedural Generation|Unforgiving|Deckbuilding|Strategy|Card Battler|Turn-Based Strategy|Turn-Based|Card Game|Replay Value|Controller|Difficult|Perma Death|Fantasy|Mouse only|Singleplayer|Turn-Based Tactics
F1 2016,2016.0,86.0,8.0,5.936236391912908,20.25,21.49,57.55,37.3,Realistic|Racing|Automobile Sim|Arcade|Casual|Free to Play|Strategy|Multiplayer|Action|Driving|Controller|Co-op|Sports|Simulation|Singleplayer
Black Book,2021.0,75.0,8.0,14.060897435897436,23.22,31.61,36.26,13.04,Story Rich|Strategy|Card Game|Adventure|Turn-Based Combat|Atmospheric|Strategy RPG|Female Protagonist|RPG|Turn-Based Tactics|Mythology|Dark Fantasy|3D|Deckbuilding|Fantasy|Indie|Card Battler|Singleplayer|Choices Matter|Dungeon Crawler|Turn-Based|Open World
Battle Realms: Zen Edition,2019.0,82.0,8.0,7.149847094801223,19.4,39.2,49.0,29.6,Fast-Paced|Classic|Multiplayer|Strategy|Fantasy|Action|RTS|Early Access
Megaquarium,2018.0,69.0,8.0,17.2027027027027,22.08,33.67,48.95,26.870000000000005,Strategy|Creature Collector|Resource Management|Building|Management|Isometric|Sandbox|Relaxing|Underwater|3D|Casual|Moddable|Indie|Capitalism|Singleplayer|Simulation|Cute|Fishing|Family Friendly|Economy
